feature,importance_base,importance_context
rsi_14_grad_mean_5,0.0,104
rsi_14_grad,0.0,81
slope_ema_10_20,0.0,69
range,192.0,68
close_open_pct,195.0,67
volume_ratio,0.0,64
atr_14_grad,0.0,55
range_pct,264.0,55
bollinger_band_width,0.0,54
ret_3,0.0,54
volume,137.0,53
bb_pct,0.0,53
ret_2,0.0,52
slope_20,0.0,51
volume_zscore_20,0.0,50
macd_diff_grad_mean_5,0.0,49
atr_14,0.0,47
rsi_14_grad_mean_10,0.0,47
volume_ema_10,129.0,47
volume_sma_10,0.0,46
atr_14_grad_mean_5,0.0,44
atr_compression_5,0.0,42
ret_1,0.0,41
ret_5,0.0,40
range_std_10,0.0,39
slope_close_10,0.0,39
atr_compression_10,0.0,39
macd_diff_grad_mean_10,0.0,39
slope_10,0.0,36
dist_ema50,173.0,35
ema_cross_diff,198.0,32
macd_diff_grad,0.0,30
slope_close_5,0.0,30
range_sma_5,0.0,29
atr_14_grad_mean_10,0.0,29
dist_ema10,259.0,28
slope_close_20,0.0,27
rsi_14,0.0,26
range_sma_10,0.0,24
bb_upper,0.0,22
slope_ema_10_5,0.0,21
slope_ema_50_5,0.0,21
slope_ema_20_5,0.0,20
slope_ema_20_10,0.0,18
slope_ema_10_10,0.0,17
slope_ema_50_10,0.0,15
macd_diff,209.0,15
slope_ema_50_20,0.0,14
slope_ema_20_20,0.0,14
adj_close,0.0,12
ema_10,62.0,8
open,77.0,7
ema_20,45.0,5
bb_lower,0.0,5
high,35.0,5
slope10_distema10,0.0,5
slope20_distema50,0.0,5
sma_50,0.0,5
ema_50,105.0,4
low,54.0,3
hl_pct,0.0,0
close,64.0,0
logret_1,0.0,0
